method,s_m,x_m,y_m,z_m,A_m2,Rh_m,De_m,Q_m3s,HGL_m,EGL_m,V_mps,Re,f_darcy,Sf,relative_roughness,hf_minor_m
hazen,0.0,0.0,0.0,0.0,5.362991958767916,0.6446281310050883,2.5785125240203532,0.29571537660646297,0.0,0.00015496532110091752,0.055140000000000015,142179.1805744823,,2.4105189798001505e-06,,0.0
hazen,3.93192,3.4714947324074408,-1.7611897970040784,0.5540123718800201,5.362991958767916,0.6446281310050883,2.5785125240203532,0.29571537660646297,-9.477967787055807e-06,0.0001454873533138617,0.055140000000000015,142179.1805744823,,2.4105189798001505e-06,,0.0
hazen,8.10768,7.396128876157855,-3.036380730816755,1.192844507601455,4.631873871327719,0.4943658724842413,1.9774634899369652,0.29571537660646297,-9.020728154274811e-05,0.00011754000618230318,0.06384357277882799,135521.57590882134,,4.407611414012519e-06,,6.232418631751539e-05
hazen,11.46048,8.938505952866572,-5.877085925984263,2.0832010583112277,1.3542466769351365,0.29365120810896833,1.1746048324358733,0.29571537660646297,-0.0009081534149936268,0.0015221094728370562,0.21836153017241383,222382.4413561437,,2.6505388660723537e-05,,0.0007290788663492048
hazen,15.60576,12.653758328690628,-7.546786548064682,2.852841165736753,1.4024041557485627,0.30638839176358346,1.2255535670543338,0.29571537660646297,-0.0013238533311876433,0.000942368568253277,0.21086316337148805,257551.81336950161,,9.993704989749354e-05,,1.4328619949344002e-06
hazen,21.42744,15.62818609743924,-2.6354225423629147,3.813695511823743,1.593574753462467,0.23909612386987786,0.9563844954795114,0.29571537660646297,-0.00226566909288971,-0.000510560750169445,0.1855673076923077,216246.68349057954,,0.00015897626182144537,,1.6306837781394523e-05
hazen,24.93264,19.019197266708098,-3.1240747166151737,4.554431188359171,1.01130705508195,0.23464224635265188,0.9385689854106075,0.29571537660646297,-0.004680450965114895,-0.00032249599843390576,0.29240909090909095,226435.76007826085,,0.00031592929996031267,,0.001307386490004297
hazen,27.85872,20.3304653442021,-0.615850221868143,5.296947234849879,3.5476009392557293,0.38150384525033415,1.5260153810013366,0.29571537660646297,-0.006051220487856675,-0.005697076975996622,0.0833564376799671,231526.46179927824,,8.784217717013311e-05,,0.0011137362849677958
hazen,35.17392,22.33908628283666,6.29786839688253,6.592357527235695,0.5311915844874889,0.14621301257928662,0.5848520503171465,0.29571537660646297,-0.012156470709974299,0.0036395043745080877,0.5567019230769231,337769.586966204,,0.000186797038600846,,0.004738792525344716
hazen,41.39184,28.516411157528072,6.448838964985126,7.285462430180051,0.413716522533525,0.10468320819335161,0.41873283277340645,0.29571537660646297,-0.06337667756299091,-0.03733655158924277,0.714777777777778,319009.45173356915,,0.006981139844335754,,0.0078120377921244415
hazen,48.43272,34.320680159611825,3.204942664684705,9.600973025868807,5.089369920055267,0.6309201635081545,2.523680654032618,0.29571537660646297,-0.07462690486495238,-0.07445482867766447,0.05810451612903227,568534.821326244,,3.706020581093045e-05,,0.010989290840071409
hazen,52.09032,37.715989740224245,3.7244980397965763,10.857942724785158,1.5658477202062515,0.30288976238218357,1.2115590495287343,0.29571537660646297,-0.07521466257267842,-0.07339684723510456,0.1888532152842498,230611.58086908297,,1.159588431044428e-05,,0.000545344601272159
hazen,54.955439999999996,40.53484879713693,3.408312335814912,11.261641662434165,0.9792020692063325,0.23334239708899487,0.9333695883559795,0.29571537660646297,-0.07710424390460084,-0.0724558366853703,0.30199627421758574,263209.2817308948,,0.0001727882832667586,,0.0013945221657691628
hazen,59.58839999999999,45.11747083560114,4.027907144611169,11.544477104157576,1.1492125625931253,0.23133750754456509,0.9253500301782603,0.29571537660646297,-0.07876309387105361,-0.07538829354485585,0.25731999999999994,259903.03296342577,,0.0003470749329779104,,5.0865684963428176e-05
hazen,64.008,48.75639849470992,6.145813616879507,12.888181620223872,1.7978792090345777,0.3741653879186487,1.4966615516745947,0.29571537660646297,-0.0794053583069631,-0.0780264741182867,0.16448011363636367,255401.19011353076,,9.562175015374644e-05,,0.00021965454892999224
hazen,67.75703999999999,52.418706174727006,5.453813396811951,13.29307552473998,2.2407820823641185,0.376069828589627,1.504279314358508,0.29571537660646297,-0.07955852572593981,-0.07867085976635228,0.1319697167046565,222407.10264973686,,3.367062179939225e-05,,2.6934911025921396e-05
hazen,70.92696,54.98123345865111,7.281646344731958,13.668406631954124,1.6599737015234026,0.2760528891047093,1.1042115564188373,0.29571537660646297,-0.08025499425199024,-0.07863748640333924,0.17814461538461543,202232.6010380199,,6.663138863287684e-05,,0.000485252354595299
hazen,73.7616,57.61023250630191,8.280309399842219,13.313132034763404,1.5366613694102356,0.2883943609092671,1.1535774436370685,0.29571537660646297,-0.08120280440153053,-0.0793152804773979,0.192440170940171,209175.56353804277,,0.0001346036788800346,,0.0005662571772397895
hazen,75.2856,57.12591052040115,9.711177069756491,13.11157329601155,1.6278687156477851,0.25814662294232094,1.0325864917692837,0.29571537660646297,-0.08144577464849102,-0.0797638363564575,0.18165800089645903,204459.9828926722,,0.00015748528638417726,,2.96267051099693e-06
hazen,76.53528,58.279967976690706,9.852877507783727,13.56958254902437,2.239322764824318,0.3510050471809253,1.4040201887237012,0.29571537660646297,-0.08162452655907348,-0.08073570327762762,0.1320557184750733,191099.2360957443,,9.286451847156296e-05,,6.270097913891211e-05
hazen,81.04632,60.47521055172974,13.579659865401931,14.850787129597553,1.568766355285853,0.2740723394961439,1.0962893579845756,0.29571537660646297,-0.0825372820862265,-0.08072622442063984,0.18850186046511633,200373.29372346206,,8.189646455740272e-05,,0.0005433172996759967
hazen,83.05799999999999,62.31155234419446,14.385757554693356,14.692952535903762,2.4188188222198153,0.39375653235130664,1.5750261294052266,0.29571537660646297,-0.0827684913915313,-0.08200668934824122,0.1222561085972851,207533.1438965485,,5.933940967757973e-05,,0.0001118374016446041
hazen,88.02624,67.12324169882655,14.951001144965389,15.793658643716704,2.3071810304250544,0.35975208524183816,1.4390083409673526,0.29571537660646297,-0.08318345817252566,-0.08234614973524665,0.12817172675521826,188699.53202330848,,3.296423880703424e-05,,0.0002511925311837054
hazen,96.4692,75.27368287867156,14.82296378347069,17.99308779000624,1.1908031124774474,0.25551134194586966,1.0220453677834787,0.29571537660646297,-0.08487325534630451,-0.08173007797042507,0.24833272058823538,231649.41662394718,,8.845759792951917e-05,,0.0009429532127638316
hazen,104.66832,81.97259788944623,10.685629547805313,20.280569347354604,2.753732197604098,0.3920397766959841,1.5681591067839364,0.29571537660646297,-0.08594487610028635,-0.08535710881889473,0.10738712241653418,230346.78226084315,,6.895377352257916e-05,,0.0005062604904173971
hazen,111.67871999999998,88.42880910600661,13.125228471917346,21.50996024394987,1.681133805850514,0.34434666549637105,1.3773866619854842,0.29571537660646297,-0.0866764539387694,-0.08509940834566322,0.17590234375000005,208610.52210094573,,3.686867518988763e-05,,0.00047311367793185285
hazen,115.85448,92.46526975336593,13.822446290292627,22.32103627840018,1.2681469420868898,0.24251885297181883,0.9700754118872753,0.29571537660646297,-0.08797285359612836,-0.0852013869621343,0.23318699654775604,240080.42779365243,,0.00011134731573671445,,0.0008314399901982139
hazen,121.55424,97.36017485761032,16.524579079947344,23.428125464109726,1.9153542709885418,0.3519476767704842,1.4077907070819369,0.29571537660646297,-0.08872717566199669,-0.08751224754456549,0.154392,230402.74107874863,,0.00010458327211373798,,0.0001582225148053233
hazen,127.01015999999998,100.81986868119584,20.721523292417768,23.000058914546262,3.7825510631636576,0.5165199982445565,2.066079992978226,0.29571537660646297,-0.08896527352662109,-0.08865375834773592,0.07817881944444445,201980.23883925952,,1.650944159665539e-05,,0.00014802367202838203
